"word","value"
"bertransaksi",3
"bertransformasi",-3
"bertuah",-3
"bertubrukan",-4
"bertudung lingkup",-5
"bertukar akal",1
"bertukar akal",-4
"bertumbangan",-3
"bertumbuk",-4
"bertumbukan",-4
"bertumpuk",4
"bertumpuk",-4
"bertunangan",3
"bertunangan",-4
"bertunas",3
"bertunas",-2
"bertundangan",3
"bertunjangkan",-4
"bertuntun",3
"bertuntun",-2
"berubah akal",-2
"berubah ingatan",-3
"berugi",-5
"berulah",-4
"berumah tangga",2
"berumah tangga",-4
"berumpun",-3
"berumur",-2
"beruntun",-3
"beruntung",4
"beruntutan",3
"berupaya",3
"berurine",-3
"berus",-4
"berusaha",3
"berusaha",-3
"berusuh",-5
"berwarna",-3
"berwibawa",3
"berwujud",2
"berziarah",-4
"berzikir",4
"berzikir",-3
"berzina",-4
"besar",4
"besar",-2
"besar-besaran",3
"besar akal",4
"besar hati",3
"besar lengan",3
"besar lengan",-2
"besar perut",-3
"besar rabu",-3
"besi tua",-4
"besit",-2
"besot",-3
"bestari",4
"beta",-3
"betapa",4
"betas",-3
"bete",-5
"beterbangan",2
"beterbangan",-3
"beterjunan",-5
"betina",-2
"beton",-2
"better",2
"better",-1
"betul",2
"betul",-4
"betung",-3
"beud",-2
"bhay",-3
"biadab",3
"biadab",-5
"biak",-3
"biang keladi",3
"biang keladi",-4
"bianglala",4
"biar",1
"biar",-3
"biarawati",-3
"biarin",-3
"biarkan",1
"biarkan",-3
"biarpun",-3
"bias",-2
"biasa",2
"biasa",-4
"biasin",-3
"bicu",-3
"bidah",-3
"bidai",-4
"bidas",-5
"bidasan",3
"bidik",-2
"biduanda",5
"bijak",3
"bijak",-4
"bijaksana",1
"bijaksana",-4
"biji buah",-3
"biji mata",-3
"bijih",3
"bijih",-3
"bikinan",3
"biksah",-5
"bilas",1
"bilhak",3
"bilik",-3
"bimbang",-5
"bimbing",3
"bimbing",-3
"bimbingan",-3
"binasa",3
"binasa",-5
"bincang",2
"bineka",3
"binen",3
"bingit",-5
"bingkis",4
"bingkisan",4
"bini gelap",-5
"bir",-5
"birah",-3
"birokrat",-3
"birthday",4
"bisain",-2
"bisik",-2
"bisikan",4
"bisikan",-2
"bismillah",4
"bisnis",3
"bison",-3
"bisu",1
"bisu",-3
"bisul",-4
"biut",-5
"blangko",-3
"blaster",-3
"blobor",-3
"block",-4
"blokir",-3
"bloon",-3
"blur",-4
"bobol",-4
"bobot",2
"bobot",-5
"bobrok",-5
